O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel
11-1011.00,EC,4.88,4.75,69.71428571428572,67.85714285714286,Mid,Mid
11-1011.03,EI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid
11-1021.00,EC,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid
11-1031.00,ES,0.0,0.0,0.0,0.0,Low,Low
11-2011.00,EC,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid
11-2021.00,EC,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
11-2022.00,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
11-2032.00,EC,0.0,0.0,0.0,0.0,Low,Low
11-2033.00,EC,0.0,0.0,0.0,0.0,Low,Low
11-3012.00,EC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid
11-3013.00,EC,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid
11-3013.01,EC,0.0,0.0,0.0,0.0,Low,Low
11-3021.00,CE,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
11-3031.00,EC,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
11-3031.01,EC,4.38,4.75,62.57142857142857,67.85714285714286,Mid,Mid
11-3031.03,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
11-3051.00,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
11-3051.01,CE,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid
11-3051.02,RC,3.62,3.88,51.714285714285715,55.42857142857143,Mid,Mid
11-3051.03,EC,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid
11-3051.04,CR,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid
11-3051.06,RC,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid
11-3061.00,EC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid
11-3071.00,EC,3.62,3.62,51.714285714285715,51.714285714285715,Mid,Mid
