O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel,BigFive_Openness_Proxy100,BigFive_Conscientiousness_Proxy100,BigFive_Extraversion_Proxy100,BigFive_Agreeableness_Proxy100,BigFive_EmotionalStability_Proxy100
11-1011.00,EC,4.88,4.75,69.71428571428572,67.85714285714286,Mid,Mid,79.41666666666664,90.75000000000001,86.5,83.99999999999999,85.75
11-1011.03,EI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,85.16666666666669,82.3,82.375,78.74999999999999,74.0
11-1021.00,EC,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid,80.16666666666667,89.35,81.125,79.83333333333336,86.00000000000001
11-1031.00,ES,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
11-2011.00,EC,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid,78.74999999999999,82.89999999999999,71.625,75.16666666666667,83.74999999999999
11-2021.00,EC,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid,77.83333333333333,81.95000000000002,77.125,68.75,75.25
11-2022.00,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid,83.33333333333333,85.65,80.0,74.33333333333333,87.99999999999999
11-2032.00,EC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
11-2033.00,EC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
11-3012.00,EC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,76.25000000000001,83.55000000000001,70.0,74.83333333333334,86.00000000000001
11-3013.00,EC,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid,81.58333333333331,85.35,81.74999999999999,84.83333333333334,87.99999999999999
11-3013.01,EC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
11-3021.00,CE,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid,72.41666666666667,84.1,73.0,72.74999999999999,79.0
11-3031.00,EC,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid,74.58333333333333,82.70000000000002,80.75000000000001,81.41666666666667,80.0
11-3031.01,EC,4.38,4.75,62.57142857142857,67.85714285714286,Mid,Mid,76.58333333333334,92.15,73.50000000000001,70.66666666666667,87.99999999999999
11-3031.03,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid,65.0,89.45,63.375,60.583333333333336,90.25000000000001
11-3051.00,EC,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid,76.08333333333333,84.7,76.25,75.0,81.25
11-3051.01,CE,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,73.08333333333333,84.55,79.5,77.41666666666667,80.0
11-3051.02,RC,3.62,3.88,51.71428571428572,55.42857142857143,Mid,Mid,77.33333333333334,82.65,78.62500000000001,76.33333333333334,84.5
11-3051.03,EC,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid,75.41666666666667,81.65,71.75,67.41666666666667,77.25
11-3051.04,CR,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid,70.41666666666666,80.25,65.0,70.33333333333333,90.5
11-3051.06,RC,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid,72.16666666666667,80.2,70.625,65.83333333333333,78.0
11-3061.00,EC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,76.66666666666666,85.80000000000001,72.37499999999999,74.58333333333333,88.25
11-3071.00,EC,3.62,3.62,51.71428571428572,51.71428571428572,Mid,Mid,72.91666666666666,81.45,74.25,70.75,85.00000000000001
11-3071.04,EC,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid,72.91666666666666,81.80000000000001,72.625,69.5,79.75000000000001
11-3111.00,EC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,67.83333333333333,84.55,69.75,72.66666666666666,78.49999999999999
11-3121.00,EC,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid,72.5,85.00000000000001,81.74999999999999,82.0,87.5
11-3131.00,ES,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid,76.83333333333333,80.39999999999998,81.62500000000001,79.58333333333334,71.5
11-9013.00,ER,3.5,4.0,50.0,57.14285714285714,Mid,Mid,74.16666666666667,80.75000000000001,67.25,65.83333333333331,68.75
11-9021.00,EC,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,66.08333333333333,84.5,71.25,66.66666666666666,82.5
11-9031.00,SE,3.5,4.0,50.0,57.14285714285714,Mid,Mid,82.41666666666667,81.0,77.375,79.5,92.75
11-9032.00,SE,4.25,4.38,60.71428571428571,62.57142857142857,Mid,Mid,81.83333333333334,85.85000000000001,84.00000000000001,81.41666666666667,80.0
11-9033.00,SE,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid,79.75000000000001,86.75000000000001,82.125,81.5,81.5
11-9041.00,EC,4.25,4.25,60.71428571428571,60.71428571428571,Mid,Mid,75.08333333333333,84.00000000000003,67.75,65.33333333333333,83.74999999999999
11-9041.01,IE,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid,75.33333333333334,77.19999999999997,61.625,63.083333333333336,74.75
11-9051.00,EC,3.0,3.75,42.85714285714285,53.57142857142857,Mid,Mid,71.16666666666666,83.2,83.5,82.0,86.00000000000001
11-9071.00,EC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid,76.08333333333333,84.2,78.49999999999999,78.49999999999999,85.75
11-9072.00,EC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
11-9081.00,EC,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid,86.83333333333334,94.40000000000002,87.75,87.75,93.25000000000001
11-9111.00,EC,3.5,4.12,50.0,58.85714285714286,Mid,Mid,80.33333333333334,87.4,82.625,81.58333333333331,86.5
11-9121.00,IE,4.25,4.38,60.71428571428571,62.57142857142857,Mid,Mid,75.91666666666666,85.30000000000003,66.12500000000001,67.50000000000001,78.0
11-9121.01,IC,3.62,4.0,51.71428571428572,57.14285714285714,Mid,Mid,77.66666666666666,86.05000000000001,76.25,85.25,83.25
11-9121.02,IR,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid,64.75,79.2,49.375,53.41666666666667,59.0
11-9131.00,EC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,79.66666666666666,86.99999999999999,77.75000000000001,77.25000000000001,85.25
11-9141.00,EC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,66.25,87.75,78.75000000000001,75.0,88.75
11-9151.00,ES,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,80.74999999999999,89.3,88.75,85.33333333333333,89.75
11-9161.00,EC,5.38,4.38,76.85714285714286,62.57142857142857,Advanced,Mid,73.16666666666669,81.54999999999998,78.25,77.91666666666669,90.99999999999999
11-9171.00,EC,3.0,3.62,42.85714285714285,51.71428571428572,Mid,Mid,69.5,83.1,72.25,79.5,81.25
11-9179.01,SE,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid,78.16666666666666,79.80000000000001,84.625,82.16666666666666,71.25
11-9179.02,EC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid,76.66666666666669,85.75,78.375,84.08333333333333,87.25
11-9199.01,EC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,65.58333333333334,86.30000000000003,56.49999999999999,54.25,78.25
11-9199.02,CE,3.5,4.25,50.0,60.71428571428571,Mid,Mid,72.08333333333333,87.9,72.0,71.66666666666669,89.75
