O*NET-SOC Code,risacLetters
11-1011.00,EC
11-1011.03,EI
11-1021.00,EC
11-1031.00,ES
11-2011.00,EC
11-2021.00,EC
11-2022.00,EC
11-2032.00,EC
11-2033.00,EC
11-3012.00,EC
11-3013.00,EC
11-3013.01,EC
11-3021.00,CE
11-3031.00,EC
11-3031.01,EC
11-3031.03,EC
11-3051.00,EC
11-3051.01,CE
11-3051.02,RC
11-3051.03,EC
11-3051.04,CR
11-3051.06,RC
11-3061.00,EC
11-3071.00,EC
11-3071.04,EC
11-3111.00,EC
11-3121.00,EC
11-3131.00,ES
11-9013.00,ER
11-9021.00,EC
11-9031.00,SE
11-9032.00,SE
11-9033.00,SE
11-9041.00,EC
11-9041.01,IE
11-9051.00,EC
11-9071.00,EC
11-9072.00,EC
11-9081.00,EC
11-9111.00,EC
11-9121.00,IE
11-9121.01,IC
11-9121.02,IR
11-9131.00,EC
11-9141.00,EC
11-9151.00,ES
11-9161.00,EC
11-9171.00,EC
11-9179.01,SE
11-9179.02,EC
11-9199.01,EC
11-9199.02,CE
11-9199.08,CE
11-9199.09,EC
11-9199.10,EC
11-9199.11,CE
13-1011.00,ES
13-1021.00,EC
13-1022.00,EC
13-1023.00,CE
13-1031.00,CE
13-1032.00,CR
13-1041.00,CE
13-1041.01,CI
13-1041.03,EC
13-1041.04,CE
13-1041.06,IC
13-1041.07,CE
13-1041.08,CE
13-1051.00,CE
13-1071.00,EC
13-1074.00,ER
13-1075.00,EC
13-1081.00,CE
13-1081.01,CI
13-1081.02,CE
13-1082.00,EC
13-1111.00,CI
13-1121.00,EC
13-1131.00,ES
13-1141.00,CE
13-1151.00,SC
13-1161.00,EC
13-1161.01,EC
13-1199.04,EC
13-1199.05,IE
13-1199.06,CE
13-1199.07,CI
13-2011.00,CE
13-2022.00,CE
13-2023.00,CE
13-2031.00,CE
13-2041.00,CE
13-2051.00,CE
13-2052.00,EC
13-2053.00,CE
13-2054.00,CI
13-2061.00,CE
13-2071.00,CS
13-2072.00,CE
13-2081.00,CE
13-2082.00,CE
13-2099.01,IC
13-2099.04,CE
15-1211.00,IC
15-1211.01,IC
15-1212.00,CI
15-1221.00,IC
15-1231.00,CI
15-1232.00,CR
15-1241.00,IC
15-1241.01,CR
15-1242.00,CI
15-1243.00,CI
15-1243.01,CI
15-1244.00,CR
15-1251.00,CI
15-1252.00,IC
15-1253.00,IC
15-1254.00,CI
15-1255.00,IA
15-1255.01,AI
15-1299.01,CI
15-1299.02,CI
15-1299.03,CI
15-1299.04,IC
15-1299.05,CI
15-1299.06,IC
15-1299.07,CI
15-1299.08,IC
15-1299.09,EC
15-2011.00,CI
15-2021.00,IC
15-2031.00,IC
15-2041.00,IC
15-2041.01,IC
15-2051.00,IC
15-2051.01,CI
15-2051.02,CI
15-2099.01,IC
17-1011.00,RA
17-1012.00,RI
17-1021.00,CI
17-1022.00,CR
17-1022.01,RC
17-2011.00,IR
17-2021.00,IR
17-2031.00,IR
17-2041.00,RI
17-2051.00,RI
17-2051.01,RI
17-2051.02,RI
17-2061.00,RI
17-2071.00,RI
17-2072.00,RI
17-2072.01,CR
17-2081.00,IR
17-2111.00,IR
17-2111.02,RI
17-2112.00,CI
17-2112.01,IR
17-2112.02,IC
17-2112.03,RI
17-2121.00,RI
17-2131.00,RI
17-2141.00,RI
17-2141.01,RI
17-2141.02,RI
17-2151.00,RI
17-2161.00,IR
17-2171.00,RI
17-2199.03,RI
17-2199.05,RI
17-2199.06,IR
17-2199.07,IR
17-2199.08,RI
17-2199.09,IR
17-2199.10,RI
17-2199.11,RI
17-3011.00,RC
17-3012.00,RC
17-3013.00,RC
17-3021.00,RC
17-3022.00,RI
17-3023.00,RI
17-3024.00,RC
17-3024.01,RC
17-3025.00,RI
17-3026.00,RC
17-3026.01,RI
17-3027.00,RI
17-3027.01,RI
17-3028.00,RC
17-3029.01,RI
17-3029.08,RC
17-3031.00,RC
19-1011.00,IR
19-1012.00,IR
19-1013.00,IR
19-1021.00,IR
19-1022.00,IR
19-1023.00,IR
19-1029.01,IC
19-1029.02,IR
19-1029.03,IC
19-1029.04,IC
19-1031.00,IR
19-1031.02,RI
19-1031.03,SI
19-1032.00,RI
19-1041.00,IS
19-1042.00,IR
19-2011.00,IR
19-2012.00,IR
19-2021.00,IR
19-2031.00,IR
19-2032.00,IR
19-2041.00,IR
19-2041.01,IE
19-2041.02,IR
19-2041.03,IR
19-2042.00,IR
19-2043.00,IR
19-2099.01,IR
19-3011.00,IC
19-3011.01,IE
19-3022.00,IC
19-3032.00,IE
19-3033.00,SI
19-3034.00,SI
19-3039.02,IS
19-3039.03,IS
19-3041.00,IS
19-3051.00,IE
19-3091.00,IR
19-3092.00,IR
19-3093.00,IC
19-3094.00,IA
19-3099.01,IC
19-4012.00,RI
19-4012.01,RI
19-4013.00,RC
19-4021.00,RI
19-4031.00,IR
19-4042.00,IR
19-4043.00,RC
19-4044.00,RC
19-4051.00,RC
19-4051.02,RC
19-4061.00,IC
19-4071.00,RC
19-4092.00,IC
19-4099.01,CI
19-4099.03,RC
19-5011.00,IC
19-5012.00,RC
21-1011.00,SI
21-1012.00,SE
21-1013.00,SI
21-1014.00,SI
21-1015.00,S
21-1021.00,S
21-1022.00,SI
21-1023.00,SI
21-1091.00,SI
21-1092.00,SC
21-1093.00,SC
